Hero_Role,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Earthshaker_mid,-0.00038237008,0.00088936236,-0.003263191,-0.00097634876,-0.0036178343,0.0007294933,-0.00033837458,0.005090113,0.006678022,-0.00091027084,-0.0043796333,-0.0004095838,-0.00059839746,-0.002206895,-0.004220364,0.0023348697
Earthshaker_offlane,-0.0003727913,0.0009878618,-0.0033765647,-0.00097328745,-0.0036958465,0.00075789564,-0.00039331493,0.005162111,0.0067273253,-0.0010163599,-0.004491709,-0.0005063369,-0.00061427243,-0.0022456963,-0.00436485,0.0022848402
Earthshaker_softsup,-0.00038305263,7.345126e-05,-0.002487072,-0.0009769625,-0.0030972648,0.0005204983,-3.4654673e-05,0.0044743004,0.006233196,-0.00017925851,-0.0035490321,0.0001503831,-0.00047864855,-0.0019676464,-0.003195705,0.0026463715
Earthshaker_hardsup,-8.21109e-24,2.9911056e-24,-6.488156e-25,-1.0627937e-24,-3.475898e-24,4.4935474e-24,-5.428302e-25,9.4063947e-26,-3.2864233e-24,-4.7788247e-24,3.98849e-25,-1.9993477e-24,1.0703428e-24,2.8271292e-24,-5.770193e-25,-3.2753347e-24
Earthshaker_carry,-1.5425638e-24,-2.6781552e-24,1.0684869e-24,-3.5321035e-25,-5.0294517e-25,4.0977e-25,-9.997035e-25,7.3179254e-25,1.3373328e-24,1.9269758e-24,-5.29444e-25,9.47601e-25,-2.7125953e-24,-1.5146276e-23,-1.1389641e-24,2.4168274e-24
Juggernaut_mid,-1.77836e-24,3.820081e-24,-1.8417433e-24,-5.3615243e-24,-1.3797911e-24,1.1174195e-24,-1.3719691e-25,-4.431535e-25,3.2674027e-25,-3.154896e-24,-1.8224902e-24,1.4560686e-25,4.2231842e-24,4.444395e-24,2.7007525e-24,-2.019761e-24
Juggernaut_offlane,-7.9756954e-25,2.3292467e-24,4.3948474e-24,4.6560444e-24,2.2034216e-25,-7.38857e-26,2.9434102e-24,-1.5833277e-24,2.958298e-25,-3.1278055e-24,9.02761e-25,1.2315876e-25,-2.7174116e-24,3.0191363e-25,1.0090689e-24,-2.4606808e-24
Juggernaut_softsup,-1.2708525e-24,1.2172838e-24,4.2299806e-25,-1.4816814e-25,-1.3203804e-24,4.0522587e-25,5.6262166e-25,1.3813586e-25,6.348111e-24,-8.797537e-25,-3.2797906e-24,-1.7318424e-24,-1.0122965e-24,-1.6552964e-24,3.0002377e-25,-3.0146043e-25
Juggernaut_hardsup,-1.3668791e-24,-4.590571e-25,1.837732e-24,-4.3574282e-24,-2.7295376e-25,1.3410999e-25,3.3593765e-25,4.325461e-25,-2.2885806e-25,5.921491e-26,5.5001138e-25,-4.0920168e-25,4.0773286e-24,1.8672787e-24,2.5632998e-24,-1.3310765e-24
Juggernaut_carry,-0.0008643151,0.013463404,0.008624824,-0.0074767056,0.0072322083,-0.004628215,0.003956507,0.0034783103,-0.0045252955,-0.01665256,0.0020253125,-0.0015800323,0.0045755045,0.008014247,-0.0143955005,-0.012899937
Mirana_mid,0.0031637398,-0.0015633394,-0.004157461,0.0019210326,-0.0042517125,-0.00037632528,-0.0040151337,-0.00072147837,0.0047194147,0.0048193154,-0.0009686926,0.0022908973,-0.0022006943,-0.005637849,0.0020461704,0.0035404088
Mirana_offlane,-1.3116506e-23,3.247775e-24,-1.053732e-23,1.0887994e-24,-7.9098097e-28,4.565368e-24,-8.59332e-25,6.815068e-27,4.7320176e-24,1.3813e-24,2.1240597e-24,-2.0182791e-24,-2.6619717e-26,7.330687e-27,4.0107956e-24,9.9151746e-24
Mirana_softsup,0.004624626,-0.008746586,-0.0010426973,0.0039659725,-0.0031938257,0.0021397192,-0.003927947,-0.005609467,0.0028168282,0.0045901444,0.000996361,0.0036928484,-0.004057371,-0.0032587724,0.007563854,0.008493698
