Hero_ID,Hero_Name,carry,mid,offlane,softsup,hardsup
113,Arc Warden,0.1022378429053955,0.8244586719547221,0.0733027135364322,3.8580172491951195e-07,3.8580172491951195e-07
114,Monkey King,0.6317366943130692,0.2117811943686692,0.0721299618012804,0.081546902878278,0.002805246638703
119,Dark Willow,1.7689706625060473e-07,0.0523617085072452,0.0594375911572694,0.4486111369085999,0.439589386529819
120,Pangolier,0.1330129994310912,0.4503198442311853,0.4022430495645044,0.0144235725866116,5.341866074075657e-07
121,Grimstroke,0.016388993115306,2.875211507746539e-07,0.1428982994561537,2.875211507746539e-07,0.8407121323862387
123,Hoodwink,0.0047171399502765,0.0003254714334162,0.0333443125046254,0.7241375047678067,0.2374755713438749
126,Void Spirit,0.1903788788092447,0.6517839555227515,0.1256092394205003,0.0322277690396407,1.5720786259403979e-07
128,Snapfire,1.1784108069698285e-07,0.0787179597466652,0.0888522926866057,0.2465236586591688,0.5859059710664795
129,Mars,8.6557566624441e-08,0.083701253483401,8.6557566624441e-08,0.9103260147468124,0.005972558654653
131,Ringmaster,2.2207392618928918e-07,0.030646423888048,0.0581835907355199,0.0113259923095799,0.8998437709929259
135,Dawnbreaker,1.9073031591615874e-07,0.277703530704243,0.6715616330711108,0.0440588937069485,0.0066757517873814
136,Marci,0.0197444247874974,0.3538252705572464,0.2477001932912348,0.0006733221075587,0.3780567892564626
137,Primal Beast,0.1714407262457815,0.2607680237979802,0.5677908255985299,2.1217885404322717e-07,2.1217885404322717e-07
138,Muerta,1.6121218667403945e-07,0.8228271619964839,0.0003225855855347,0.0003225855855347,0.1765275056202598
145,Kez,0.7040435385529199,0.2683822743769825,2.2977914777211885e-07,0.027573727511802,2.2977914777211885e-07
155,Largo,0.0007659666365701,0.0840864725942161,0.3273088318970501,0.2450604648028297,0.3427782640693336
